published_doi,biorxiv_doi,published_doi,preprint_title,preprint_category,preprint_date,published_date,published_citation_count,days_to_publish,pub_prefix,pub_name,journal
10.1103/physreve.95.042323,10.1101/118463,10.1103/PhysRevE.95.042323,Mean-Field Equations For Neuronal Networks With Arbitrary Degree Distributions,neuroscience,2017-03-20,2017-04-02,2,13.0,10.1103,American Physical Society,Physical Review E
10.7554/elife.26000,10.1101/108035,10.7554/eLife.26000,Ciliomotor circuitry underlying whole-body coordination of ciliary activity in the Platynereis larva,neuroscience,2017-02-13,2017-05-16,5,92.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1016/j.tics.2017.04.003,10.1101/109355,10.1016/j.tics.2017.04.003,Commentary on Sanborn and Chater: Posterior Modes are Attractor Basins,neuroscience,2017-02-17,2017-05-06,1,78.0,10.1016,Elsevier,Trends in Cognitive Sciences
10.7554/elife.22848,10.1101/110544,10.7554/eLife.22848,mTORC1 in AGRP neurons integrates exteroceptive and interoceptive food-related cues in the modulation of adaptive energy expenditure in mice,neuroscience,2017-02-22,2017-05-23,3,90.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1016/j.clinph.2017.04.005,10.1101/101097,10.1016/j.clinph.2017.04.005,Demonstration of short-term plasticity in the dorsolateral prefrontal cortexwith theta burst stimulation: A TMS-EEG study,neuroscience,2017-01-17,2017-04-24,11,97.0,10.1016,Elsevier,Clinical Neurophysiology
10.7554/elife.25364,10.1101/102319,10.7554/eLife.25364,A genetic basis for molecular asymmetry at vertebrate electrical synapses,neuroscience,2017-01-22,2017-05-22,3,120.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1016/j.nicl.2017.04.027,10.1101/104547,10.1016/j.nicl.2017.04.027,Auditory prediction errors as individual biomarkers of schizophrenia,neuroscience,2017-01-31,2017-05-03,1,92.0,10.1016,Elsevier,NeuroImage: Clinical
10.1371/journal.pgen.1006815,10.1101/104893,10.1371/journal.pgen.1006815,Conserved properties of Drosophila Insomniac link sleep regulation and synaptic function,neuroscience,2017-02-01,2017-05-30,2,118.0,10.1371,Public Library of Science,PLOS Genetics
10.3389/fnhum.2017.00229,10.1101/095935,10.3389/fnhum.2017.00229,The Constancy of Colored After-Images,neuroscience,2016-12-21,2017-05-10,0,140.0,10.3389,Frontiers Media SA,Frontiers in Human Neuroscience
10.7554/elife.24838,10.1101/097659,10.7554/eLife.24838,Wiring variations that enable and constrain neural computation in a sensory microcircuit,neuroscience,2017-01-02,2017-05-22,15,140.0,10.7554,"eLife Sciences Publications, Ltd.",eLife
10.1103/physreve.95.042321,10.1101/092973,10.1103/PhysRevE.95.042321,Random versus maximum entropy models of neural population activity,neuroscience,2016-12-09,2017-04-02,4,114.0,10.1103,American Physical Society,Physical Review E
10.1038/s41598-017-02301-2,10.1101/093633,10.1038/s41598-017-02301-2,Openspritzer: an open hardware pressure ejection system for reliably delivering picolitre volumes.,neuroscience,2016-12-13,2017-05-19,0,157.0,10.1038,Nature Publishing Group,Scientific Reports
10.1038/ncomms15415,10.1101/086074,10.1038/ncomms15415,A Canonical Neural Mechanism for Behavioral Variability,neuroscience,2016-11-07,2017-05-22,2,196.0,10.1038,Nature Publishing Group,Nature Communications
10.1523/jneurosci.3485-16.2017,10.1101/087130,10.1523/JNEUROSCI.3485-16.2017,Learning enhances sensory processing in mouse V1 before improving behavior,neuroscience,2016-11-10,2017-05-30,4,201.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
10.1016/j.neuron.2017.04.040,10.1101/088963,10.1016/j.neuron.2017.04.040,Distinct sources of deterministic and stochastic components of action timing decisions in rodent frontal cortex,neuroscience,2016-11-22,2017-05-17,3,176.0,10.1016,Elsevier,Neuron
10.1162/netn_a_00012,10.1101/106443,10.1162/NETN_a_00012,Visibility graphs for fMRI data: multiplex temporal graphs and their modulations across resting state networks,neuroscience,2017-02-06,2017-05-04,0,87.0,10.1162,10.1162,Network Neuroscience
10.1016/j.bpsc.2017.04.007,10.1101/111278,10.1016/j.bpsc.2017.04.007,Accumulation of sensory evidence is impaired in Parkinson’s disease with visual hallucinations,neuroscience,2017-02-24,2017-05-02,4,67.0,10.1016,Elsevier,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging
10.1152/jn.00275.2017,10.1101/110924,10.1152/jn.00275.2017,Functional Connectivity Between Somatosensory and Motor Brain Areas Predicts Individual Differences in Motor Learning by Observing,neuroscience,2017-02-22,2017-05-31,5,98.0,10.1152,American Physiological Society,Journal of Neurophysiology
